, PRODUCT A ,exp,err, PRODUCT B ,exp,err, PRODUCT C ,exp,err, PRODUCT D ,exp,err
DATE, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,, Daily Sales ,0.05,
18-Jul-11,"1,983",1899.715252,2764.186253,510,484.5852578,388.9227688,,0.00249375,#DIV/0!,222,214.996162,2031.99903
19-Jul-11,"3,748",3655.585763,1633.267013,366,371.9292629,301.3448257,,0.000124688,#DIV/0!,372,364.1498081,280.7864486
20-Jul-11,"6,542",6397.679288,2200.157825,453,448.9464631,304.9582356,20,19.00000623,11.5469334,"3,642",3478.10749,1896.362622
21-Jul-11,"1,262",1518.783964,3564.76953,32,52.84732316,254.6103434,,0.950000312,11.5469334,636,778.1053745,2506.426877
22-Jul-11,100,170.9391982,3498.549073,,2.642366158,245.2324187,,0.047500016,11.5469334,24,61.70526873,2542.344835
25-Jul-11,"2,053",1958.89696,3262.427652,312,296.5321183,299.747949,,0.002375001,#DIV/0!,444,424.8852634,1711.957862
26-Jul-11,"7,234",6970.244848,3335.75643,294,294.1266059,178.613696,,0.00011875,#DIV/0!,288,294.8442632,494.4902267
27-Jul-11,"3,250",3436.012242,3881.970577,384,379.5063303,185.9980145,15,14.25000594,8.660185477,"5,460",5201.742213,2991.305212
28-Jul-11,"1,297",1403.950612,3926.079774,36,53.17531651,205.0042581,,0.712500297,8.660185477,438,676.1871107,4057.53666
29-Jul-11,611,650.6475306,2519.54796,,2.658765826,204.9990455,,0.035625015,8.660185477,216,239.0093555,4065.457983
01-Aug-11,"2,215",2136.782377,1597.012074,422,401.0329383,312.9662759,,0.001781251,#DIV/0!,294,291.2504678,2763.333495
02-Aug-11,"3,910",3821.339119,1439.938663,438,436.1516469,243.0456983,,8.90625E-05,#DIV/0!,"2,292",2191.962523,1185.719871
03-Aug-11,"5,062",4999.966956,1541.724015,516,512.0075823,247.3791919,21,19.95000445,12.12430423,"1,878",1893.698126,1169.700122
04-Aug-11,790,1000.498348,2732.969199,1,26.55037912,299.372161,,0.997500223,12.12430423,558,624.7849063,1400.673724
05-Aug-11,200,240.0249174,2575.775534,,1.327518956,298.6103976,,0.049875011,12.12430423,66,93.93924532,855.3561679
08-Aug-11,"2,082",1989.901246,2693.046081,288,273.6663759,338.2848211,,0.002493751,#DIV/0!,360,346.6969623,849.9251694
09-Aug-11,"5,476",5301.695062,2322.825459,12,25.0833188,224.0910557,,0.000124688,#DIV/0!,294,296.6348481,358.6111481
10-Aug-11,"6,014",5978.384753,2313.23259,510,485.7541659,358.6059078,20,19.00000623,11.5469334,"5,814",5538.131742,3189.298957
11-Aug-11,"1,323",1555.769238,3382.94103,451,452.7377083,318.7587029,,0.950000312,11.5469334,612,858.3065871,4270.474959
12-Aug-11,200,267.7884619,2829.493226,,22.63688541,280.6849003,,0.047500016,11.5469334,162,196.8153294,4289.247604
15-Aug-11,"2,404",2297.189423,3059.091214,310,295.6318443,167.1181335,,0.002375001,#DIV/0!,390,380.3407665,2874.539796
16-Aug-11,"6,114",5923.159471,2643.832631,462,453.6815922,191.7080444,,0.00011875,#DIV/0!,252,258.4170383,423.7273229
17-Aug-11,"5,613",5628.507974,2531.642524,462,461.5840796,191.7681923,21,19.95000594,12.12428709,"5,694",5422.220852,3141.090777
18-Aug-11,"1,061",1289.375399,3441.23868,,23.07920398,96.17269042,,0.997500297,12.12428709,686,922.8110426,4163.084651
19-Aug-11,150,206.9687699,2723.7538,,1.153960199,4.802634975,,0.049875015,12.12428709,78,120.2405521,4190.905065
22-Aug-11,"2,143",2046.198438,2938.736821,318,302.157698,182.9311464,,0.002493751,#DIV/0!,480,462.0120276,2785.373734
